iter	Passed	Remaining
399	47680	71520
400	47801	71403
401	47923	71288
402	48055	71189
403	48199	71106
404	48317	70985
405	48448	70883
406	48565	70759
407	48676	70629
408	48806	70525
409	48929	70411
410	49048	70291
411	49162	70164
412	49282	70044
413	49392	69913
414	49516	69800
415	49627	69668
416	49752	69557
417	49872	69439
418	50001	69333
419	50117	69210
420	50235	69089
421	50350	68963
422	50466	68839
423	50590	68727
424	50705	68601
425	50831	68491
426	50945	68364
427	51064	68244
428	51189	68133
429	51308	68013
430	51419	67882
431	51542	67769
432	51662	67650
433	51790	67542
434	51909	67422
435	52042	67321
436	52205	67257
437	52333	67148
438	52445	67020
439	52570	66908
440	52676	66770
441	52794	66650
442	52916	66534
443	53034	66412
444	53167	66309
445	53305	66213
446	53424	66093
447	53540	65969
448	53657	65847
449	53775	65725
450	53896	65607
451	54013	65485
452	54139	65374
453	54254	65248
454	54380	65136
455	54490	65005
456	54611	64888
457	54722	64759
458	54849	64647
459	54965	64524
460	55087	64408
461	55214	64297
462	55330	64173
463	55444	64048
464	55560	63924
465	55679	63804
466	55790	63675
467	55928	63576
468	56046	63455
469	56179	63351
470	56304	63238
471	56424	63119
472	56539	62994
473	56666	62883
474	56778	62754
475	56896	62633
476	57020	62519
477	57141	62401
478	57276	62298
479	57414	62199
480	57576	62125
481	57699	62008
482	57817	61887
483	57940	61771
484	58058	61650
485	58188	61541
486	58306	61419
487	58452	61327
488	58602	61239
489	58731	61128
490	58846	61003
491	58976	60894
492	59092	60770
493	59217	60656
494	59336	60535
495	59463	60422
496	59578	60297
497	59692	60171
498	59814	60054
499	59926	59926
500	60048	59808
501	60161	59681
502	60289	59570
503	60406	59447
504	60536	59337
505	60650	59212
506	60781	59102
507	60895	58977
508	61025	58867
509	61137	58739
510	61271	58633
511	61393	58515
512	61533	58414
513	61647	58289
514	61763	58165
515	61875	58038
516	61994	57917
517	62116	57799
518	62228	57672
519	62366	57569
520	62490	57452
521	62626	57347
522	62788	57266
523	62902	57140
524	63017	57015
525	63141	56899
526	63254	56772
527	63374	56653
528	63497	56535
529	63624	56421
530	63753	56309
531	63907	56219
532	64017	56090
533	64138	55971
534	64246	55840
535	64372	55725
536	64490	55603
537	64623	55494
538	64746	55376
539	64875	55263
540	64993	55142
541	65110	55019
542	65227	54897
543	65346	54775
544	65464	54653
545	65582	54531
546	65702	54411
547	65818	54288
548	65945	54173
549	66060	54049
550	66184	53932
551	66293	53803
552	66418	53687
553	66535	53564
554	66662	53449
555	66772	53321
556	66901	53209
557	67021	53088
558	67129	52959
559	67253	52841
560	67356	52708
561	67483	52593
562	67607	52476
563	67722	52353
564	67841	52232
565	67974	52121
566	68094	52001
567	68254	51911
568	68368	51786
569	68499	51675
570	68610	51548
571	68750	51442
572	68862	51316
573	68983	51196
574	69089	51066
575	69244	50971
576	69366	50853
577	69486	50732
578	69602	50609
579	69723	50489
580	69843	50369
581	69957	50244
582	70089	50132
583	70205	50009
584	70333	49894
585	70446	49769
586	70566	49648
587	70671	49518
588	70793	49399
589	70916	49280
590	71050	49170
591	71174	49052
592	71302	48937
593	71414	48812
594	71539	48695
595	71654	48571
596	71776	48452
597	71911	48342
598	72029	48219
599	72156	48104
600	72284	47989
601	72415	47875
602	72539	47757
603	72669	47644
604	72806	47534
605	72973	47444
606	73100	47328
607	73225	47211
608	73343	47088
609	73459	46966
610	73577	46844
611	73697	46723
612	73823	46606
613	73959	46495
614	74073	46371
615	74196	46252
616	74322	46135
617	74443	46015
618	74552	45887
619	74677	45769
620	74793	45647
621	74928	45535
622	75038	45408
623	75165	45292
624	75273	45163
625	75405	45050
626	75519	44926
627	75633	44801
628	75753	44681
629	75880	44564
630	76000	44443
631	76116	44321
632	76247	44206
633	76365	44084
634	76494	43969
635	76623	43853
636	76760	43742
637	76893	43629
638	77026	43515
639	77146	43394
640	77271	43276
641	77383	43151
642	77504	43031
643	77619	42907
644	77743	42789
645	77861	42667
646	77992	42552
647	78157	42456
648	78278	42335
649	78378	42203
650	78512	42090
651	78631	41969
652	78762	41853
653	78881	41732
654	79007	41614
655	79125	41492
656	79263	41381
657	79386	41261
658	79507	41141
659	79621	41017
660	79736	40893
661	79853	40770
662	79966	40646
663	80086	40525
664	80204	40403
665	80332	40286
666	80437	40158
667	80560	40038
668	80678	39917
669	80805	39799
670	80911	39672
671	81034	39552
672	81152	39430
673	81260	39304
674	81383	39184
675	81500	39062
676	81611	38937
677	81721	38811
678	81840	38690
679	81957	38568
680	82092	38454
681	82210	38332
682	82340	38216
683	82469	38099
684	82610	37988
685	82778	37889
686	82905	37772
687	83018	37648
688	83145	37530
689	83260	37406
690	83379	37285
691	83491	37160
692	83615	37041
693	83745	36925
694	83896	36817
695	84006	36692
696	84132	36574
697	84245	36449
698	84372	36332
699	84489	36209
700	84618	36092
701	84743	35973
702	84865	35853
703	84987	35733
704	85092	35606
705	85217	35487
706	85326	35361
707	85449	35241
708	85558	35116
709	85691	35000
710	85812	34879
711	85936	34760
712	86053	34638
713	86177	34519
714	86293	34396
715	86467	34297
716	86597	34180
717	86714	34057
718	86829	33934
719	86959	33817
720	87090	33700
721	87263	33600
722	87372	33474
723	87483	33349
724	87597	33226
725	87715	33104
726	87837	32984
727	87961	32864
728	88086	32745
729	88232	32633
730	88359	32515
731	88491	32398
732	88616	32279
733	88746	32161
734	88873	32042
735	89018	31930
736	89130	31806
737	89273	31693
738	89390	31570
739	89503	31447
740	89627	31327
741	89751	31207
742	89878	31088
743	90004	30969
744	90136	30852
745	90280	30738
746	90408	30620
747	90532	30500
748	90643	30375
749	90759	30253
750	90885	30133
751	91006	30012
752	91138	29895
753	91274	29779
754	91397	29658
755	91504	29533
756	91633	29414
757	91741	29289
758	91864	29169
759	91992	29050
760	92150	28940
761	92283	28823
762	92419	28707
763	92537	28584
764	92713	28480
765	92847	28363
766	92973	28243
767	93103	28125
768	93250	28011
769	93391	27896
770	93532	27780
771	93678	27666
772	93839	27556
773	93984	27442
774	94112	27323
775	94250	27206
776	94363	27082
777	94501	26965
778	94619	26843
779	94758	26726
780	94902	26611
781	95030	26491
782	95168	26375
783	95311	26259
784	95426	26136
785	95553	26015
786	95699	25900
787	95827	25781
788	95966	25664
789	96081	25540
790	96200	25418
791	96315	25294
792	96435	25172
793	96554	25050
794	96665	24926
795	96791	24805
796	96918	24685
797	97055	24567
798	97178	24446
799	97305	24326
800	97420	24203
801	97547	24082
802	97668	23961
803	97801	23842
804	97920	23719
805	98057	23601
806	98191	23483
807	98351	23370
808	98477	23249
809	98608	23130
810	98724	23007
811	98875	22892
812	98998	22770
813	99122	22649
814	99251	22529
815	99404	22414
816	99521	22291
817	99644	22170
818	99753	22045
819	99882	21925
820	99993	21801
821	100121	21680
822	100238	21558
823	100381	21440
824	100501	21318
825	100626	21197
826	100727	21071
827	100857	20951
828	100976	20828
829	101102	20707
830	101223	20585
831	101397	20474
832	101547	20358
833	101674	20237
834	101790	20114
835	101908	19991
836	102032	19870
837	102155	19748
838	102273	19625
839	102410	19506
840	102526	19383
841	102661	19264
842	102786	19142
843	102959	19030
844	103077	18907
845	103199	18785
846	103311	18661
847	103442	18541
848	103560	18418
849	103698	18299
850	103823	18178
851	103973	18061
852	104104	17940
853	104225	17818
854	104329	17693
855	104453	17571
856	104570	17448
857	104699	17327
858	104819	17205
859	104959	17086
860	105079	16964
861	105209	16843
862	105317	16718
863	105416	16593
864	105542	16471
865	105663	16349
866	105806	16230
867	105926	16108
868	106083	15991
869	106224	15872
870	106346	15750
871	106464	15627
872	106586	15505
873	106696	15381
874	106810	15258
875	106926	15135
876	107063	15015
877	107192	14894
878	107310	14771
879	107420	14648
880	107548	14526
881	107661	14403
882	107784	14281
883	107907	14159
884	108030	14037
885	108146	13915
886	108270	13793
887	108444	13677
888	108569	13555
889	108688	13433
890	108820	13312
891	108951	13191
892	109092	13071
893	109210	12948
894	109341	12827
895	109463	12705
896	109622	12587
897	109739	12464
898	109872	12343
899	109999	12222
900	110125	12100
901	110243	11977
902	110358	11854
903	110482	11732
904	110624	11612
905	110742	11489
906	110858	11366
907	110980	11244
908	111096	11121
909	111212	10999
910	111334	10876
911	111459	10754
912	111579	10632
913	111698	10509
914	111794	10385
915	111918	10263
916	112036	10140
917	112161	10018
918	112266	9895
919	112396	9773
920	112522	9651
921	112639	9529
922	112767	9407
923	112887	9285
924	113045	9165
925	113166	9043
926	113278	8920
927	113398	8798
928	113519	8675
929	113642	8553
930	113770	8431
931	113881	8308
932	114016	8187
933	114150	8066
934	114269	7943
935	114385	7821
936	114509	7699
937	114621	7576
938	114750	7454
939	114867	7331
940	114998	7210
941	115128	7088
942	115258	6966
943	115366	6843
944	115497	6722
945	115609	6599
946	115724	6476
947	115831	6353
948	115944	6230
949	116072	6109
950	116190	5986
951	116311	5864
952	116422	5741
953	116556	5620
954	116668	5497
955	116792	5375
956	116899	5252
957	117023	5130
958	117149	5008
959	117259	4885
960	117391	4764
961	117551	4643
962	117665	4520
963	117788	4398
964	117908	4276
965	118017	4153
966	118136	4031
967	118253	3909
968	118384	3787
969	118522	3665
970	118642	3543
971	118749	3420
972	118882	3298
973	119001	3176
974	119121	3054
975	119227	2931
976	119349	2809
977	119467	2687
978	119594	2565
979	119704	2442
980	119826	2320
981	119945	2198
982	120064	2076
983	120184	1954
984	120303	1832
985	120433	1710
986	120546	1587
987	120661	1465
988	120767	1343
989	120879	1221
990	120997	1098
991	121119	976
992	121240	854
993	121355	732
994	121475	610
995	121593	488
996	121708	366
997	121829	244
998	121948	122
999	122065	0
