iter	Logloss
202	0.4206151529
203	0.4204335343
204	0.4201305918
205	0.4200419326
206	0.4197898918
207	0.4195878693
208	0.4193824845
209	0.4192504917
210	0.4190354963
211	0.4188633804
212	0.4187688503
213	0.4185590539
214	0.4184472774
215	0.4183156879
216	0.4181308409
217	0.4180335678
218	0.4179198507
219	0.4178335815
220	0.4176690871
221	0.4174079568
222	0.4172413725
223	0.4170423627
224	0.4168776629
225	0.4167131088
226	0.4164689993
227	0.416403913
228	0.4161558979
229	0.4158876264
230	0.4156164792
231	0.4154265096
232	0.4152528082
233	0.4150458825
234	0.4150068364
235	0.4148740441
236	0.4145920755
237	0.4145214026
238	0.4144041926
239	0.414142203
240	0.4139563634
241	0.4139495721
242	0.4138303962
243	0.4138095559
244	0.4136066902
245	0.4134160484
246	0.4132941278
247	0.4131034885
248	0.4128551623
249	0.4126881149
250	0.4125642297
251	0.4124774978
252	0.412283304
253	0.4121111895
254	0.4120318102
255	0.4118820844
256	0.411786202
257	0.4114998511
258	0.4111822784
259	0.4110187565
260	0.4109752412
261	0.4107944866
262	0.4105954412
263	0.4104548197
264	0.4102178399
265	0.410083479
266	0.4098456927
267	0.4096472917
268	0.4095147728
269	0.4092394175
270	0.4091175999
271	0.4089225087
272	0.4086969166
273	0.4084589547
274	0.4082924842
275	0.4081479319
276	0.4079271474
277	0.4077883866
278	0.4076788673
279	0.4075150495
280	0.4074819834
281	0.4072950126
282	0.4070600432
283	0.4069387551
284	0.4066787502
285	0.4066770151
286	0.4064992217
287	0.406340064
288	0.4061093954
289	0.4060342567
290	0.4057805012
291	0.4057088453
292	0.4056097517
293	0.4054016052
294	0.405254913
295	0.4049667361
296	0.4048660736
297	0.4047211632
298	0.4046499668
299	0.404553494
300	0.4043733648
301	0.4042443281
302	0.4040639442
303	0.4039527768
304	0.4038102258
305	0.4036508467
306	0.4035513418
307	0.4031770543
308	0.4030698858
309	0.4029534506
310	0.4027581614
311	0.4026230918
312	0.402448308
313	0.402252736
314	0.4020267147
315	0.4018436847
316	0.401710088
317	0.4015785105
318	0.4014952094
319	0.4012883988
320	0.4011205328
321	0.4009218254
322	0.4007629516
323	0.4006655086
324	0.4005107862
325	0.4003792507
326	0.4003422171
327	0.4002124916
328	0.400126169
329	0.3999660294
330	0.3998075861
331	0.3997253723
332	0.3994365484
333	0.3993599697
334	0.3991446071
335	0.3989878705
336	0.3987597796
337	0.3985869555
338	0.398455084
339	0.3983542313
340	0.3981998647
341	0.3980235366
342	0.3979377909
343	0.3977693905
344	0.3976462958
345	0.3975319612
346	0.397282916
347	0.3970116216
348	0.3968759861
349	0.3968004599
350	0.3967638159
351	0.3965968215
352	0.3964982197
353	0.3963763046
354	0.3962359806
355	0.3962315854
356	0.3961391983
357	0.3959821973
358	0.3958085425
359	0.395632546
360	0.3954851753
361	0.3953248383
362	0.3951852578
363	0.3950438126
364	0.3949700232
365	0.3948692842
366	0.3946388551
367	0.3944370149
368	0.394269251
369	0.3940553872
370	0.3939286203
371	0.3937737197
372	0.393654526
373	0.3934494128
374	0.3932074308
375	0.3930347445
376	0.3928480529
377	0.3927242573
378	0.3925606494
379	0.3923956698
380	0.3922923337
381	0.392091574
382	0.3920149801
383	0.391912573
384	0.3917466956
385	0.3915274724
386	0.3913796943
387	0.3912573725
388	0.3911346357
389	0.3909158279
390	0.3907126953
391	0.3905119978
392	0.390366366
393	0.3901663447
394	0.3900224878
395	0.3898526989
396	0.3896771331
397	0.389491094
398	0.3892761246
399	0.389079803
400	0.3889345107
401	0.3887481108
402	0.3885945268
403	0.3884536801
404	0.3882324147
405	0.3880278449
406	0.3878843409
407	0.3877654187
408	0.3875522499
409	0.3873242296
410	0.3871658845
411	0.3870237234
412	0.3868592703
413	0.3866666408
414	0.3865002464
415	0.386364205
416	0.3861961449
417	0.3860446996
418	0.3858918536
419	0.3857121816
420	0.3856094569
421	0.3854821898
422	0.3853332663
423	0.3851105545
424	0.3849041367
425	0.3847546163
426	0.3846080191
427	0.3845205145
428	0.3844262069
429	0.3842565081
430	0.3840752816
431	0.3839019282
432	0.383730114
433	0.3835840059
434	0.3833945011
435	0.383231427
436	0.3830967137
437	0.3829223947
438	0.3827472989
439	0.3825777275
440	0.3824520593
441	0.382267787
442	0.3821135831
443	0.3819960961
444	0.381822422
445	0.3816615733
446	0.3814441721
447	0.3812765948
448	0.3811663743
449	0.3810041819
450	0.3808475833
451	0.380712657
452	0.3805839113
453	0.3804075402
454	0.3802654868
455	0.3801327626
456	0.3799923106
457	0.379860344
458	0.379729052
459	0.3795864951
460	0.3793893512
461	0.3792280522
462	0.3790258441
463	0.3789212369
464	0.3787439685
465	0.3786222264
466	0.3784775928
467	0.3783088262
468	0.3781674686
469	0.3779787713
470	0.3777772342
471	0.3774817283
472	0.3773056378
473	0.3771436648
474	0.3770000496
475	0.3768501393
476	0.376735853
477	0.3766002523
478	0.3764557792
479	0.3762125535
480	0.3760547776
481	0.3758959554
482	0.3757489873
483	0.3756176145
484	0.3755360047
485	0.3753684895
486	0.3752093301
487	0.3750837709
488	0.3749238613
489	0.3747775951
490	0.3746073784
491	0.3744388395
492	0.3742697932
493	0.3741240161
494	0.373996384
495	0.373844856
496	0.3737326487
497	0.3736264886
498	0.3734796267
499	0.3733374937
500	0.3731822901
501	0.3730573526
502	0.3729093479
503	0.372782071
504	0.3726377501
505	0.3724307882
506	0.3722981996
507	0.3721671939
508	0.372025622
509	0.3718825654
510	0.3717268719
511	0.3715771265
512	0.3714217531
513	0.37132187
514	0.3711804721
515	0.3710502624
516	0.3709140961
517	0.3707627724
518	0.3706252922
519	0.3704849561
520	0.3703305933
521	0.3701815256
522	0.3700156761
523	0.369943973
524	0.3697833648
525	0.3696672043
526	0.3695508055
527	0.369455193
528	0.3693144967
529	0.3691637336
530	0.3690410883
531	0.3688580363
532	0.3687578094
533	0.3686103516
534	0.3685268497
535	0.3684208841
536	0.3682835333
537	0.3680649322
538	0.3679253908
539	0.3677265258
540	0.3675722292
541	0.3674528547
542	0.3673352122
543	0.3671570644
544	0.3670651472
545	0.3669437787
546	0.3668126146
547	0.366743333
548	0.3665496216
549	0.366416828
550	0.3662964533
551	0.3661924496
552	0.3660650299
553	0.3658981238
554	0.365726443
555	0.3656586334
556	0.3655344388
557	0.3654038702
558	0.3653241803
559	0.365204172
560	0.3651071698
561	0.3649352435
562	0.3648276534
563	0.3647844656
564	0.3646744093
565	0.3646074092
566	0.3644803253
567	0.3642951832
568	0.3641465237
569	0.3640373617
570	0.3638994269
571	0.3637533184
572	0.3636242262
573	0.3635668638
574	0.3635014483
575	0.3632788056
576	0.3631472551
577	0.3630241482
578	0.3629685483
579	0.3628191246
580	0.3626932508
581	0.3626010271
582	0.3624719244
583	0.3623368765
584	0.3622140056
585	0.3620575871
586	0.3619571495
587	0.3618758901
588	0.3617745929
589	0.36164352
590	0.3615247822
591	0.361440126
592	0.3613645693
593	0.3612515805
594	0.3611523199
595	0.3610149922
596	0.3608784648
597	0.3608230702
598	0.3606722347
599	0.3605579013
600	0.3603990132
601	0.3602116418
602	0.3601272844
603	0.3599976538
604	0.3598682758
605	0.3597662407
606	0.359678084
607	0.3595042469
608	0.3594649527
609	0.3593346008
610	0.359216206
611	0.3590400598
612	0.358935963
613	0.3589115015
614	0.3588025576
615	0.3586722233
616	0.358543057
617	0.3583657
618	0.3582924026
619	0.3581704116
620	0.3580450995
621	0.3578870186
622	0.3577792862
623	0.3576329661
624	0.3575460509
625	0.3574364942
626	0.3572941729
627	0.3572087644
628	0.3570787962
629	0.3569642599
630	0.3568619345
631	0.356728016
632	0.3565812805
633	0.3564635908
634	0.356337809
635	0.3561770735
636	0.3560159489
637	0.3558697344
638	0.3557305009
639	0.3556580286
640	0.3556190401
641	0.3554532673
642	0.3553718771
643	0.355255769
644	0.3551480918
645	0.3550513313
646	0.3549189897
647	0.3548016165
648	0.3547437022
649	0.3547005574
650	0.354555597
651	0.3544591606
652	0.3543340645
653	0.3542082364
654	0.354072839
655	0.3540366984
656	0.3539927995
657	0.3538446516
658	0.3537554029
659	0.3536219703
660	0.3535018198
661	0.3533963268
662	0.3532936532
663	0.3531868503
664	0.3530651724
665	0.3529252857
666	0.3528906063
667	0.3527461464
668	0.352611203
669	0.3524678229
670	0.3523917084
671	0.3523626356
672	0.3522712839
673	0.3522310827
674	0.3520907578
675	0.3519570291
676	0.3518799885
677	0.3518400248
678	0.3517452954
679	0.3516043011
680	0.3514461683
681	0.3513092451
682	0.3511909219
683	0.3510220909
684	0.3509074266
685	0.3507855241
686	0.3506439566
687	0.3505735083
688	0.3504695559
689	0.350329663
690	0.3502221104
691	0.3501350398
692	0.3500232883
693	0.349912154
694	0.3498016215
695	0.3497749117
696	0.3496394002
697	0.3495445755
698	0.3494108333
699	0.3492293509
700	0.3491016495
701	0.3489921768
702	0.3488528345
703	0.3487515557
704	0.3487267805
705	0.3485967451
706	0.3483912378
707	0.3482319411
708	0.348172129
709	0.3481018913
710	0.3479840825
711	0.3478728348
712	0.3477500782
713	0.3476493519
714	0.3475161366
715	0.3474286811
716	0.3473223646
717	0.3472849097
718	0.3472344827
719	0.3471364696
720	0.3470347009
721	0.3469472634
722	0.3468527127
723	0.3467674891
724	0.346696795
725	0.346638671
726	0.3465202045
727	0.3464687773
728	0.3463229843
729	0.3461954695
730	0.34605062
731	0.3459512111
732	0.3458205839
733	0.3457507265
734	0.3456317824
735	0.3455447455
736	0.3455138972
737	0.3453587549
738	0.3453249591
739	0.3452225565
740	0.3450931063
741	0.3450279847
742	0.3449350297
743	0.3448504415
744	0.3447657035
745	0.3446631056
746	0.3445436532
747	0.3444212582
748	0.3443623055
749	0.3442617533
750	0.3441739567
751	0.3440755602
752	0.343978878
753	0.3438790852
754	0.3438435644
755	0.3438014769
756	0.343675202
757	0.3436045727
758	0.3435142898
759	0.3433980387
760	0.3432675651
761	0.3431765166
762	0.343132421
763	0.3431043029
764	0.3430292422
765	0.3428943997
766	0.3427642323
767	0.3426681958
768	0.3425378658
769	0.3424601202
770	0.3423598361
771	0.3422361072
772	0.3421470555
773	0.3420252547
774	0.3418922469
775	0.3417376733
776	0.341697607
777	0.3416124391
778	0.3415601521
779	0.3414624505
780	0.341414269
781	0.341377812
782	0.3412626997
783	0.3411429554
784	0.3411128882
785	0.3409542967
786	0.3408233178
787	0.3407388105
788	0.3406449065
789	0.3405510952
790	0.3404677572
791	0.3403792993
792	0.3402984722
793	0.3401849413
794	0.3401452808
795	0.3400655456
796	0.3399712146
797	0.339865775
798	0.3397803055
799	0.339642054
800	0.3395813824
801	0.3394216589
802	0.3393075078
803	0.3391613291
804	0.339100793
805	0.3389648717
806	0.3388988018
807	0.3388409248
808	0.3387551162
809	0.3386169566
810	0.3385732238
811	0.3384684583
812	0.3383990681
813	0.3383178462
814	0.3382437129
815	0.3381470371
816	0.3380157444
817	0.3379028168
818	0.3378397687
819	0.3377340243
820	0.3376396415
821	0.3375214259
822	0.3374581077
823	0.3373030296
824	0.3371585156
825	0.3370340034
826	0.3369791828
827	0.336861306
828	0.3366737879
829	0.3365890402
830	0.3365406684
831	0.3364462218
832	0.3363494315
833	0.3362962956
834	0.3362307121
835	0.3362127827
836	0.3361024787
837	0.3360622016
838	0.3359337378
839	0.3358336278
840	0.3357597278
841	0.335620793
842	0.3355511553
843	0.3354530985
844	0.3353798778
845	0.3352931051
846	0.3352141096
847	0.3351460132
848	0.3350194598
849	0.3348596879
850	0.3347770654
851	0.3346554516
852	0.3345195916
853	0.3344292642
854	0.3343997443
855	0.3343611545
856	0.3342677414
857	0.3341105849
858	0.3340144636
859	0.3338896306
860	0.3338465179
861	0.3337579756
862	0.3337366416
863	0.3337126989
864	0.3336157708
865	0.3335872883
866	0.3334713648
867	0.3334439488
868	0.3333222223
869	0.3332382546
870	0.3331223789
871	0.3330279842
872	0.3329044531
873	0.3328296658
874	0.3327367121
875	0.3325951109
876	0.3324488485
877	0.332357977
878	0.3323239515
879	0.3322429699
880	0.3321675579
881	0.3320660072
882	0.3319562009
883	0.3318849065
884	0.3317793623
885	0.3317546389
886	0.3316704201
887	0.3315895903
888	0.3314907524
889	0.3314221992
890	0.3313665076
891	0.3312940662
892	0.3311881082
893	0.3311288645
894	0.3309877659
895	0.3309773358
896	0.3308724446
897	0.3307977335
898	0.3306902786
899	0.3305424708
900	0.3304382108
901	0.3303236445
902	0.3303016389
903	0.3302276413
904	0.3301287077
905	0.3300427657
906	0.3299644005
907	0.3299001565
908	0.3297680756
909	0.3296981683
910	0.3295953836
911	0.3294885911
912	0.3293977113
913	0.3293315596
914	0.3293287268
915	0.329249961
916	0.3291307011
917	0.3290297981
918	0.3289988258
919	0.3288417505
920	0.3287471293
921	0.3287191352
922	0.328574716
923	0.3284822446
924	0.3284279909
925	0.3283463837
926	0.3282001131
927	0.3281242759
928	0.3280257336
929	0.3279342459
930	0.3278455288
931	0.327740922
932	0.3276874595
933	0.3275616945
934	0.3274920042
935	0.3273777952
936	0.3272570101
937	0.3271379551
938	0.3270507259
939	0.3269342176
940	0.3268050548
941	0.326722806
942	0.3266115533
943	0.3265151238
944	0.3264267138
945	0.3263918855
946	0.3263419388
947	0.3263165655
948	0.3262230822
949	0.3261216983
950	0.3260421699
951	0.3259898879
952	0.3258965852
953	0.3258379034
954	0.3257238746
955	0.325628327
956	0.3255960318
957	0.3255133073
958	0.325402002
959	0.3253910786
960	0.3253107062
961	0.3252652976
962	0.3252029824
963	0.3251148391
964	0.3250198982
965	0.324896527
966	0.3248126884
967	0.3247120142
968	0.3246455633
969	0.3245792503
970	0.3245090577
971	0.324492049
972	0.3244148993
973	0.3242995624
974	0.3242195589
975	0.3241787779
976	0.3241120012
977	0.3240038958
978	0.3238563579
979	0.323795409
980	0.3237091614
981	0.3236202541
982	0.3235097155
983	0.3234056884
984	0.3232718826
985	0.3231277263
986	0.3230649355
987	0.3230041298
988	0.3229721272
989	0.3229308506
990	0.3228239435
991	0.3227300131
992	0.3226362704
993	0.322522935
994	0.3224550776
995	0.3223398334
996	0.3222598911
997	0.322173675
998	0.3221351415
999	0.3220479526
